tick,pt,pt_utc,market_id,market_type,market_name,market_status,in_play,market_time,selection_id,handicap,runner_name,runner_status,best_back,best_back_size,best_lay,best_lay_size,ltp,traded_volume
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,15,,1 - 3,ACTIVE,12.5,219.0,13.0,565.49,12.5,1686.38
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,5,,2 - 0,ACTIVE,110.0,56.9,130.0,166.09,110.0,423.26
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,6,,2 - 1,ACTIVE,40.0,255.7,42.0,5.9,42.0,826.95
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,7,,2 - 2,ACTIVE,30.0,332.56,32.0,341.39,30.0,844.3199999999999
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,14,,2 - 3,ACTIVE,34.0,439.49,38.0,110.87,34.0,1494.8
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,10,,3 - 0,ACTIVE,480.0,4.94,510.0,9.93,470.0,114.19
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,11,,3 - 1,ACTIVE,170.0,51.06,190.0,12.0,170.0,331.66
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,12,,3 - 2,ACTIVE,130.0,120.26,150.0,45.38,130.0,313.72999999999996
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,13,,3 - 3,ACTIVE,140.0,96.97,150.0,17.55,140.0,647.57
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,9063254,,Any Other Home Win,ACTIVE,240.0,22.77,260.0,20.0,240.0,432.77
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,9063255,,Any Other Away Win,ACTIVE,4.2,1088.86,4.3,0.07,4.2,4119.23
16090,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162825,CORRECT_SCORE,Correct Score,OPEN,False,2017-04-30T13:05:00+00:00,9063256,,Any Other Draw,ACTIVE,1000.0,52.98,,,1000.0,92.32000000000001
55,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162829,OVER_UNDER_45_CARDS,Cards Over/Under 4.5,OPEN,False,2017-04-30T13:05:00+00:00,6384544,,Under 4.5 Cards,ACTIVE,1.43,14.68,1.54,3.25,1.53,201.61
55,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162829,OVER_UNDER_45_CARDS,Cards Over/Under 4.5,OPEN,False,2017-04-30T13:05:00+00:00,6384543,,Over 4.5 Cards,ACTIVE,2.9,383.26,3.3,81.72,2.9,116.19
70,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162831,OVER_UNDER_135_CORNR,Corners Over/Under 13.5,OPEN,False,2017-04-30T13:05:00+00:00,6384614,,Under 13.5 Corners,ACTIVE,1.19,4.2,1.24,50.0,1.23,53.04
70,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162831,OVER_UNDER_135_CORNR,Corners Over/Under 13.5,OPEN,False,2017-04-30T13:05:00+00:00,6384613,,Over 13.5 Corners,ACTIVE,5.2,164.72,6.4,2.0,4.5,12.81
